"source","target","link_type","visible_ssr","notes"
"/ru","/ru/studio","landing navigation/footer","yes","Locale landing links to major hubs."
"/ru","/ru/features","landing navigation/footer","yes","Locale landing links to major hubs."
"/ru","/ru/platforms","landing navigation/footer","yes","Locale landing links to major hubs."
"/ru","/ru/use-cases","landing navigation/footer","yes","Locale landing links to major hubs."
"/ru","/ru/blog","landing navigation/footer","yes","Locale landing links to major hubs."
"/ru","/ru/ai-summary","landing navigation/footer","yes","Locale landing links to major hubs."
"/ru/platforms/kaspi-foto-tovarov","/studio","platform CTA","yes","Platform page links to Studio."
"/ru/platforms/wildberries-foto-tovarov","/studio","platform CTA","yes","Platform page links to Studio."
"/ru/platforms/ozon-foto-tovarov","/studio","platform CTA","yes","Platform page links to Studio."
"/ru/platforms/ebay-foto-tovarov","/studio","platform CTA","yes","Platform page links to Studio."
"/ru/platforms/amazon-foto-tovarov","/studio","platform CTA","yes","Platform page links to Studio."
"/ru/platforms/etsy-foto-tovarov","/studio","platform CTA","yes","Platform page links to Studio."
"/ru/platforms/shopify-foto-tovarov","/studio","platform CTA","yes","Platform page links to Studio."
"/ru/platforms/instagram-shop-foto-tovarov","/studio","platform CTA","yes","Platform page links to Studio."
"/ru/platforms/tiktok-shop-foto-tovarov","/studio","platform CTA","yes","Platform page links to Studio."
"/ru/platforms/facebook-marketplace-foto-tovarov","/studio","platform CTA","yes","Platform page links to Studio."
"/ru/platforms/olx-foto-tovarov","/studio","platform CTA","yes","Platform page links to Studio."
"/ru/platforms/aliexpress-foto-tovarov","/studio","platform CTA","yes","Platform page links to Studio."
"/ru/platforms/temu-foto-tovarov","/studio","platform CTA","yes","Platform page links to Studio."
"/ru/use-cases/odezhda-na-ai-modeli","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/bele-na-ai-modeli","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/plus-size-model-foto","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/foto-bizhuterii","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/foto-obuvi","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/foto-sumok","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/foto-kosmetiki","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/belyy-fon-dlya-marketpleysa","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/foto-tovara-dlya-instagram","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/video-tovara-iz-foto","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/reels-iz-foto-tovara","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/ai-zamena-fona","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/ochistka-tovarnogo-foto","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/tochnaya-tovarnaya-kartochka","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/kreativnaya-scena-tovara","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/foto-dlya-ecommerce-kataloga","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/foto-kataloga-postavshchika","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/foto-tovarov-shouruma","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/tovarnye-foto-dlya-malogo-biznesa","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/use-cases/workflow-kontent-menedzhera","/studio","use-case CTA","yes","Use-case page links to Studio."
"/ru/blog/blog_001","/studio; /ru/use-cases; /ru/platforms","blog internal links","yes","Published article has at least 3 internal links."
"/ru/blog/blog_002","/studio; /ru/use-cases; /ru/platforms","blog internal links","yes","Published article has at least 3 internal links."
"/ru/blog/blog_003","/studio; /ru/use-cases; /ru/platforms","blog internal links","yes","Published article has at least 3 internal links."
"/ru/blog/blog_008","/studio; /ru/use-cases; /ru/platforms","blog internal links","yes","Published article has at least 3 internal links."
"/ru/blog/blog_011","/studio; /ru/use-cases; /ru/platforms","blog internal links","yes","Published article has at least 3 internal links."
"/ru/blog/blog_016","/studio; /ru/use-cases; /ru/platforms","blog internal links","yes","Published article has at least 3 internal links."
"/ru/blog/blog_021","/studio; /ru/use-cases; /ru/platforms","blog internal links","yes","Published article has at least 3 internal links."
"/ru/blog/blog_031","/studio; /ru/use-cases; /ru/platforms","blog internal links","yes","Published article has at least 3 internal links."
