path,locale,kind,id,index_policy,in_sitemap,hreflang_group,notes
"/ru","ru","home","home","noindex","yes","home-ru",""
"/ru/features","ru","section","features","index","yes","features-ru",""
"/ru/platforms","ru","section","platforms","index","yes","platforms-ru",""
"/ru/use-cases","ru","section","use-cases","index","yes","use-cases-ru",""
"/ru/blog","ru","section","blog","index","yes","blog-ru",""
"/ru/ai-summary","ru","section","ai-summary","index","yes","ai-summary-ru",""
"/ru/cost","ru","section","cost","index","yes","cost-ru",""
"/en","en","home","home","noindex","yes","home-en",""
"/en/features","en","section","features","index","yes","features-en",""
"/en/platforms","en","section","platforms","index","yes","platforms-en",""
"/en/use-cases","en","section","use-cases","index","yes","use-cases-en",""
"/en/blog","en","section","blog","index","yes","blog-en",""
"/en/ai-summary","en","section","ai-summary","index","yes","ai-summary-en",""
"/en/cost","en","section","cost","index","yes","cost-en",""
"/kk","kk","home","home","noindex","yes","home-kk",""
"/kk/features","kk","section","features","index","yes","features-kk",""
"/kk/platforms","kk","section","platforms","index","yes","platforms-kk",""
"/kk/use-cases","kk","section","use-cases","index","yes","use-cases-kk",""
"/kk/blog","kk","section","blog","index","yes","blog-kk",""
"/kk/ai-summary","kk","section","ai-summary","index","yes","ai-summary-kk",""
"/kk/cost","kk","section","cost","index","yes","cost-kk",""
"/ru/ii-studiya-tovarnyh-foto","ru","feature","aiProductPhotoStudio","index","yes","static-aiProductPhotoStudio","index"
"/en/ai-product-photo-studio","en","feature","aiProductPhotoStudio","index","yes","static-aiProductPhotoStudio","index"
"/kk/ai-onim-foto-studiyasi","kk","feature","aiProductPhotoStudio","index","yes","static-aiProductPhotoStudio","index"
"/ky/ai-tovar-foto-studiyasy","ky","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/uz/ai-mahsulot-foto-studiyasi","uz","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/tg/ai-studiya-aks-tovar","tg","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/tr/ai-product-photo-studio","tr","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/az/ai-product-photo-studio","az","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/ar/ai-product-photo-studio","ar","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/es/ai-product-photo-studio","es","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/pt/ai-product-photo-studio","pt","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/fr/ai-product-photo-studio","fr","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/de/ai-product-photo-studio","de","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/it/ai-product-photo-studio","it","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/pl/ai-product-photo-studio","pl","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/uk/ai-product-photo-studio","uk","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/hi/ai-product-photo-studio","hi","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/id/ai-product-photo-studio","id","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/vi/ai-product-photo-studio","vi","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/zh/ai-product-photo-studio","zh","feature","aiProductPhotoStudio","noindex-needs_review","no","static-aiProductPhotoStudio","index"
"/ru/foto-tovarov-dlya-marketpleysov","ru","feature","productPhotoForMarketplaces","index","yes","static-productPhotoForMarketplaces","index"
"/en/product-photo-for-marketplaces","en","feature","productPhotoForMarketplaces","index","yes","static-productPhotoForMarketplaces","index"
"/kk/marketpleisterge-onim-fotosy","kk","feature","productPhotoForMarketplaces","index","yes","static-productPhotoForMarketplaces","index"
"/ky/marketpleyster-uchun-tovar-fotosu","ky","feature","productPhotoForMarketplaces","noindex-needs_review","no","static-productPhotoForMarketplaces","index"
"/uz/marketpleys-uchun-mahsulot-fotosi","uz","feature","productPhotoForMarketplaces","noindex-needs_review","no","static-productPhotoForMarketplaces","index"
"/tg/aks-tovar-baroi-marketpleys","tg","feature","productPhotoForMarketplaces","noindex-needs_review","no","static-productPhotoForMarketplaces","index"
"/tr/product-photo-for-marketplaces","tr","feature","productPhotoForMarketplaces","noindex-needs_review","no","static-productPhotoForMarketplaces","index"
"/az/product-photo-for-marketplaces","az","feature","productPhotoForMarketplaces","noindex-needs_review","no","static-productPhotoForMarketplaces","index"
"/ar/product-photo-for-marketplaces","ar","feature","productPhotoForMarketplaces","noindex-needs_review","no","static-productPhotoForMarketplaces","index"
"/es/product-photo-for-marketplaces","es","feature","productPhotoForMarketplaces","noindex-needs_review","no","static-productPhotoForMarketplaces","index"
"/pt/product-photo-for-marketplaces","pt","feature","productPhotoForMarketplaces","noindex-needs_review","no","static-productPhotoForMarketplaces","index"
"/fr/product-photo-for-marketplaces","fr","feature","productPhotoForMarketplaces","noindex-needs_review","no","static-productPhotoForMarketplaces","index"
"/de/product-photo-for-marketplaces","de","feature","productPhotoForMarketplaces","noindex-needs_review","no","static-productPhotoForMarketplaces","index"
