slug,locale,topic_cluster,primary_keyword,secondary_keywords,target_intent,title,h1,word_count,translation_status,needs_generation,needs_translation,needs_seo_rewrite,target_pages_to_link,priority
ai-foto-tovarov-dlya-marketpleysov,ru,AI product photography basics,ai фото товаров для маркетплейсов,фото товара для маркетплейса; сделать карточку товара; фото товара на белом фоне,informational,AI-фото товаров для маркетплейсов: что это и где помогает продавцу,AI-фото товаров для маркетплейсов: что это и где помогает продавцу,237,published,no,no,yes,exact-product-card,P0
what-is-ai-product-photography,en,AI product photography basics,AI product photos for marketplaces,product photo for marketplace; marketplace product photography; white background product photo,informational,AI product photos for marketplaces: what they are and where they help,AI product photos for marketplaces: what they are and where they help,247,published,no,no,yes,exact-product-card,P0
what-is-ai-product-photography,kk,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,ky,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,uz,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,tg,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,tr,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,az,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,ar,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,es,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,pt,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,fr,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,de,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,it,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,pl,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,uk,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,hi,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,id,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,vi,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
what-is-ai-product-photography,zh,AI product photography basics,,,informational,,,0,needs_review,no,yes,yes,exact-product-card,P0
kak-sdelat-foto-tovara-dlya-marketpleysa,ru,AI product photography basics,как сделать фото товара для маркетплейса,товарное фото; карточка товара; AI для маркетплейса,how-to,Как сделать фото товара для маркетплейса: базовый workflow,Как сделать фото товара для маркетплейса: базовый workflow,163,published,no,no,yes,exact-product-card;marketplace-white-background,P1
how-to-create-product-photos-for-a-marketplace,en,AI product photography basics,how to create product photos for a marketplace,product photography; marketplace listing image; AI ecommerce photo,how-to,How to create product photos for a marketplace: a practical workflow,How to create product photos for a marketplace: a practical workflow,181,published,no,no,yes,exact-product-card;marketplace-white-background,P1
how-to-create-product-photos-for-a-marketplace,kk,AI product photography basics,,,how-to,,,0,needs_review,no,yes,yes,exact-product-card;marketplace-white-background,P1
how-to-create-product-photos-for-a-marketplace,ky,AI product photography basics,,,how-to,,,0,needs_review,no,yes,yes,exact-product-card;marketplace-white-background,P1
how-to-create-product-photos-for-a-marketplace,uz,AI product photography basics,,,how-to,,,0,needs_review,no,yes,yes,exact-product-card;marketplace-white-background,P1
