route,locale,status,title,meta_description,h1,canonical,hreflang,robots,sitemap_included,indexable,word_count,language_quality,content_status,internal_links,cta_studio,schema_org,notes
/ru,ru,exists,AI-студия товарных фото и видео для маркетплейсов,"Создавайте фото одежды на модели, точные карточки товара, фоны, Reels и короткие видео из одного изображения. Для продавцов маркетплейсов, интернет-магазинов, Instagram-витрин и каталогов.",AI-студия товарных фото и видео для маркетплейсов,/ru,20-locale hreflang,noindex site-wide layout,yes,yes,276,good,complete,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,
/en,en,exists,AI product photo and video studio for marketplaces,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",AI product photo and video studio for marketplaces,/en,20-locale hreflang,noindex site-wide layout,yes,yes,295,good,complete,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,
/kk,kk,exists,Маркетплейстерге арналған AI тауар фото және видео студиясы,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",Маркетплейстерге арналған AI тауар фото және видео студиясы,/kk,20-locale hreflang,noindex site-wide layout,no,no,295,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
/ky,ky,exists,AI product photo and video studio for marketplaces,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",AI product photo and video studio for marketplaces,/ky,20-locale hreflang,noindex site-wide layout,no,no,295,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
/uz,uz,exists,AI product photo and video studio for marketplaces,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",AI product photo and video studio for marketplaces,/uz,20-locale hreflang,noindex site-wide layout,no,no,295,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
/tg,tg,exists,AI product photo and video studio for marketplaces,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",AI product photo and video studio for marketplaces,/tg,20-locale hreflang,noindex site-wide layout,no,no,295,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
/tr,tr,exists,AI product photo and video studio for marketplaces,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",AI product photo and video studio for marketplaces,/tr,20-locale hreflang,noindex site-wide layout,no,no,295,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
/az,az,exists,AI product photo and video studio for marketplaces,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",AI product photo and video studio for marketplaces,/az,20-locale hreflang,noindex site-wide layout,no,no,295,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
/ar,ar,exists,استوديو AI لصور وفيديوهات المنتجات للمتاجر,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",استوديو AI لصور وفيديوهات المنتجات للمتاجر,/ar,20-locale hreflang,noindex site-wide layout,no,no,293,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
/es,es,exists,AI product photo and video studio for marketplaces,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",AI product photo and video studio for marketplaces,/es,20-locale hreflang,noindex site-wide layout,no,no,295,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
/pt,pt,exists,AI product photo and video studio for marketplaces,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",AI product photo and video studio for marketplaces,/pt,20-locale hreflang,noindex site-wide layout,no,no,295,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
/fr,fr,exists,AI product photo and video studio for marketplaces,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",AI product photo and video studio for marketplaces,/fr,20-locale hreflang,noindex site-wide layout,no,no,295,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
/de,de,exists,AI product photo and video studio for marketplaces,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",AI product photo and video studio for marketplaces,/de,20-locale hreflang,noindex site-wide layout,no,no,295,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
/it,it,exists,AI product photo and video studio for marketplaces,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",AI product photo and video studio for marketplaces,/it,20-locale hreflang,noindex site-wide layout,no,no,295,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
/pl,pl,exists,AI product photo and video studio for marketplaces,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",AI product photo and video studio for marketplaces,/pl,20-locale hreflang,noindex site-wide layout,no,no,295,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
/uk,uk,exists,AI product photo and video studio for marketplaces,"Create on-model clothing photos, precise product cards, backgrounds, Reels, and short videos from one image. Built for marketplace sellers, online stores, Instagram shops, and catalogs.",AI product photo and video studio for marketplaces,/uk,20-locale hreflang,noindex site-wide layout,no,no,295,EN fallback/partial,machine draft,features;platforms;blog;use-cases;studio,yes,Organization;WebSite;SoftwareApplication;WebPage;FAQPage,EN fallback landing copy
