"type","id","name_ru","name_en","slug_ru","slug_en","index_locales","noindex_locales","related_platforms","related_use_cases","disclaimer_required","notes"
"platform","kaspi","Kaspi","Kaspi","/ru/platforms/kaspi-foto-tovarov","/en/platforms/kaspi-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","","exact-product-card; marketplace-white-background; jewelry-product-photos","yes","Independent tool disclaimer visible on detail page."
"platform","wildberries","Wildberries","Wildberries","/ru/platforms/wildberries-foto-tovarov","/en/platforms/wildberries-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","","exact-product-card; clothing-on-model; marketplace-white-background","yes","Independent tool disclaimer visible on detail page."
"platform","ozon","Ozon","Ozon","/ru/platforms/ozon-foto-tovarov","/en/platforms/ozon-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","","exact-product-card; product-video-from-photo; marketplace-white-background","yes","Independent tool disclaimer visible on detail page."
"platform","ebay","eBay","eBay","/ru/platforms/ebay-foto-tovarov","/en/platforms/ebay-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","","exact-product-card; jewelry-product-photos; shoes-product-photos","yes","Independent tool disclaimer visible on detail page."
"platform","amazon","Amazon","Amazon","/ru/platforms/amazon-foto-tovarov","/en/platforms/amazon-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","","marketplace-white-background; exact-product-card; product-video-from-photo","yes","Independent tool disclaimer visible on detail page."
"platform","etsy","Etsy","Etsy","/ru/platforms/etsy-foto-tovarov","/en/platforms/etsy-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","","jewelry-product-photos; creative-product-scene; bags-product-photos","yes","Independent tool disclaimer visible on detail page."
"platform","shopify","Shopify","Shopify","/ru/platforms/shopify-foto-tovarov","/en/platforms/shopify-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","","ecommerce-catalog-photos; creative-product-scene; product-video-from-photo","yes","Independent tool disclaimer visible on detail page."
"platform","instagram-shop","Instagram Shop","Instagram Shop","/ru/platforms/instagram-shop-foto-tovarov","/en/platforms/instagram-shop-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","","instagram-product-photos; reels-from-product-image; creative-product-scene","yes","Independent tool disclaimer visible on detail page."
"platform","tiktok-shop","TikTok Shop","TikTok Shop","/ru/platforms/tiktok-shop-foto-tovarov","/en/platforms/tiktok-shop-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","","reels-from-product-image; product-video-from-photo; creative-product-scene","yes","Independent tool disclaimer visible on detail page."
"platform","facebook-marketplace","Facebook Marketplace","Facebook Marketplace","/ru/platforms/facebook-marketplace-foto-tovarov","/en/platforms/facebook-marketplace-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","","exact-product-card; marketplace-white-background; small-business-product-photos","yes","Independent tool disclaimer visible on detail page."
"platform","olx","OLX","OLX","/ru/platforms/olx-foto-tovarov","/en/platforms/olx-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","","small-business-product-photos; product-photo-cleanup; marketplace-white-background","yes","Independent tool disclaimer visible on detail page."
"platform","aliexpress","AliExpress","AliExpress","/ru/platforms/aliexpress-foto-tovarov","/en/platforms/aliexpress-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","","supplier-catalog-photos; exact-product-card; marketplace-white-background","yes","Independent tool disclaimer visible on detail page."
"platform","temu","Temu","Temu","/ru/platforms/temu-foto-tovarov","/en/platforms/temu-product-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","","supplier-catalog-photos; ecommerce-catalog-photos; exact-product-card","yes","Independent tool disclaimer visible on detail page."
"use-case","clothing-on-model","одежда на AI-модели","clothing on AI model","/ru/use-cases/odezhda-na-ai-modeli","/en/use-cases/clothing-on-ai-model","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Wildberries; Ozon; Shopify; Instagram Shop","","yes","AI limitations and manual review copy visible on detail page."
"use-case","lingerie-on-ai-model","бельё на AI-модели","lingerie on AI model","/ru/use-cases/bele-na-ai-modeli","/en/use-cases/lingerie-on-ai-model","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Wildberries; Ozon; Shopify","","yes","AI limitations and manual review copy visible on detail page."
"use-case","plus-size-model-photos","фото plus-size модели для одежды","plus-size model photos","/ru/use-cases/plus-size-model-foto","/en/use-cases/plus-size-model-photos","ru; en","kk; ky; uz; tg; tr; az; ar; es; pt; fr; de; it; pl; uk; hi; id; vi; zh","Shopify; Instagram Shop; Wildberries","","yes","AI limitations and manual review copy visible on detail page."
