route,locale,matrix_status,translation_status,coverage
/ru,ru,complete,published,complete
/en,en,complete,published,complete
/kk,kk,machine draft,needs_review,partial
/ky,ky,machine draft,needs_review,partial
/uz,uz,machine draft,needs_review,partial
/tg,tg,machine draft,needs_review,partial
/tr,tr,machine draft,needs_review,partial
/az,az,machine draft,needs_review,partial
/ar,ar,machine draft,needs_review,partial
/es,es,machine draft,needs_review,partial
/pt,pt,machine draft,needs_review,partial
/fr,fr,machine draft,needs_review,partial
/de,de,machine draft,needs_review,partial
/it,it,machine draft,needs_review,partial
/pl,pl,machine draft,needs_review,partial
/uk,uk,machine draft,needs_review,partial
/hi,hi,machine draft,needs_review,partial
/id,id,machine draft,needs_review,partial
/vi,vi,machine draft,needs_review,partial
/zh,zh,machine draft,needs_review,partial
/ru/features,ru,complete,published,complete
/ru/platforms,ru,complete,published,complete
/ru/use-cases,ru,complete,published,complete
/ru/blog,ru,complete,published,complete
/ru/ai-summary,ru,complete,published,complete
/en/features,en,complete,published,complete
/en/platforms,en,complete,published,complete
/en/use-cases,en,complete,published,complete
/en/blog,en,complete,published,complete
/en/ai-summary,en,complete,published,complete
/kk/features,kk,machine draft,needs_review,partial
/kk/platforms,kk,machine draft,needs_review,partial
/kk/use-cases,kk,machine draft,needs_review,partial
/kk/blog,kk,machine draft,needs_review,partial
/kk/ai-summary,kk,machine draft,needs_review,partial
/ky/features,ky,machine draft,needs_review,partial
/ky/platforms,ky,machine draft,needs_review,partial
/ky/use-cases,ky,machine draft,needs_review,partial
/ky/blog,ky,machine draft,needs_review,partial
/ky/ai-summary,ky,machine draft,needs_review,partial
/uz/features,uz,machine draft,needs_review,partial
/uz/platforms,uz,machine draft,needs_review,partial
/uz/use-cases,uz,machine draft,needs_review,partial
/uz/blog,uz,machine draft,needs_review,partial
/uz/ai-summary,uz,machine draft,needs_review,partial
/tg/features,tg,machine draft,needs_review,partial
/tg/platforms,tg,machine draft,needs_review,partial
/tg/use-cases,tg,machine draft,needs_review,partial
/tg/blog,tg,machine draft,needs_review,partial
/tg/ai-summary,tg,machine draft,needs_review,partial
/tr/features,tr,machine draft,needs_review,partial
/tr/platforms,tr,machine draft,needs_review,partial
/tr/use-cases,tr,machine draft,needs_review,partial
/tr/blog,tr,machine draft,needs_review,partial
/tr/ai-summary,tr,machine draft,needs_review,partial
/az/features,az,machine draft,needs_review,partial
/az/platforms,az,machine draft,needs_review,partial
/az/use-cases,az,machine draft,needs_review,partial
/az/blog,az,machine draft,needs_review,partial
/az/ai-summary,az,machine draft,needs_review,partial
/ar/features,ar,machine draft,needs_review,partial
/ar/platforms,ar,machine draft,needs_review,partial
/ar/use-cases,ar,machine draft,needs_review,partial
/ar/blog,ar,machine draft,needs_review,partial
/ar/ai-summary,ar,machine draft,needs_review,partial
/es/features,es,machine draft,needs_review,partial
/es/platforms,es,machine draft,needs_review,partial
/es/use-cases,es,machine draft,needs_review,partial
/es/blog,es,machine draft,needs_review,partial
/es/ai-summary,es,machine draft,needs_review,partial
/pt/features,pt,machine draft,needs_review,partial
/pt/platforms,pt,machine draft,needs_review,partial
/pt/use-cases,pt,machine draft,needs_review,partial
/pt/blog,pt,machine draft,needs_review,partial
/pt/ai-summary,pt,machine draft,needs_review,partial
/fr/features,fr,machine draft,needs_review,partial
/fr/platforms,fr,machine draft,needs_review,partial
/fr/use-cases,fr,machine draft,needs_review,partial
/fr/blog,fr,machine draft,needs_review,partial
/fr/ai-summary,fr,machine draft,needs_review,partial
/de/features,de,machine draft,needs_review,partial
/de/platforms,de,machine draft,needs_review,partial
/de/use-cases,de,machine draft,needs_review,partial
/de/blog,de,machine draft,needs_review,partial
/de/ai-summary,de,machine draft,needs_review,partial
/it/features,it,machine draft,needs_review,partial
/it/platforms,it,machine draft,needs_review,partial
/it/use-cases,it,machine draft,needs_review,partial
/it/blog,it,machine draft,needs_review,partial
/it/ai-summary,it,machine draft,needs_review,partial
/pl/features,pl,machine draft,needs_review,partial
/pl/platforms,pl,machine draft,needs_review,partial
/pl/use-cases,pl,machine draft,needs_review,partial
/pl/blog,pl,machine draft,needs_review,partial
/pl/ai-summary,pl,machine draft,needs_review,partial
/uk/features,uk,machine draft,needs_review,partial
/uk/platforms,uk,machine draft,needs_review,partial
/uk/use-cases,uk,machine draft,needs_review,partial
/uk/blog,uk,machine draft,needs_review,partial
/uk/ai-summary,uk,machine draft,needs_review,partial
/hi/features,hi,machine draft,needs_review,partial
/hi/platforms,hi,machine draft,needs_review,partial
/hi/use-cases,hi,machine draft,needs_review,partial
/hi/blog,hi,machine draft,needs_review,partial
/hi/ai-summary,hi,machine draft,needs_review,partial
/id/features,id,machine draft,needs_review,partial
/id/platforms,id,machine draft,needs_review,partial
/id/use-cases,id,machine draft,needs_review,partial
/id/blog,id,machine draft,needs_review,partial
/id/ai-summary,id,machine draft,needs_review,partial
/vi/features,vi,machine draft,needs_review,partial
/vi/platforms,vi,machine draft,needs_review,partial
/vi/use-cases,vi,machine draft,needs_review,partial
/vi/blog,vi,machine draft,needs_review,partial
/vi/ai-summary,vi,machine draft,needs_review,partial
/zh/features,zh,machine draft,needs_review,partial
/zh/platforms,zh,machine draft,needs_review,partial
/zh/use-cases,zh,machine draft,needs_review,partial
/zh/blog,zh,machine draft,needs_review,partial
/zh/ai-summary,zh,machine draft,needs_review,partial
/ru/ii-studiya-tovarnyh-foto,ru,complete,published,complete
/en/ai-product-photo-studio,en,complete,published,complete
/kk/ai-onim-foto-studiyasi,kk,machine draft,needs_review,machine draft
/ky/ai-tovar-foto-studiyasy,ky,machine draft,needs_review,machine draft
/uz/ai-mahsulot-foto-studiyasi,uz,machine draft,needs_review,machine draft
/tg/ai-studiya-aks-tovar,tg,machine draft,needs_review,machine draft
/tr/ai-product-photo-studio,tr,machine draft,needs_review,machine draft
/az/ai-product-photo-studio,az,machine draft,needs_review,machine draft
/ar/ai-product-photo-studio,ar,machine draft,needs_review,machine draft
/es/ai-product-photo-studio,es,machine draft,needs_review,machine draft
/pt/ai-product-photo-studio,pt,machine draft,needs_review,machine draft
/fr/ai-product-photo-studio,fr,machine draft,needs_review,machine draft
/de/ai-product-photo-studio,de,machine draft,needs_review,machine draft
/it/ai-product-photo-studio,it,machine draft,needs_review,machine draft
/pl/ai-product-photo-studio,pl,machine draft,needs_review,machine draft
/uk/ai-product-photo-studio,uk,machine draft,needs_review,machine draft
/hi/ai-product-photo-studio,hi,machine draft,needs_review,machine draft
/id/ai-product-photo-studio,id,machine draft,needs_review,machine draft
/vi/ai-product-photo-studio,vi,machine draft,needs_review,machine draft
/zh/ai-product-photo-studio,zh,machine draft,needs_review,machine draft
/ru/foto-tovarov-dlya-marketpleysov,ru,complete,published,complete
/en/product-photo-for-marketplaces,en,complete,published,complete
/kk/marketpleisterge-onim-fotosy,kk,machine draft,needs_review,machine draft
/ky/marketpleyster-uchun-tovar-fotosu,ky,machine draft,needs_review,machine draft
/uz/marketpleys-uchun-mahsulot-fotosi,uz,machine draft,needs_review,machine draft
/tg/aks-tovar-baroi-marketpleys,tg,machine draft,needs_review,machine draft
/tr/product-photo-for-marketplaces,tr,machine draft,needs_review,machine draft
