"id","cluster","priority","intent","funnel_stage","locale","primary_keyword","secondary_keywords","long_tail_keywords","question_keywords","platform_modifiers","recommended_page_type","target_audience","related_platforms","related_use_cases","index_policy","content_status","notes"
"keyword_001","AI product photography basics","P0","informational","TOFU","ru","что такое ai-фото товаров","???????? ????; ???????? ??????; AI ??? ????????????","что такое ai-фото товаров ??? ?????????; что такое ai-фото товаров ??? ????????????","??? что такое ai-фото товаров?; ??? ????????? AI-???? ????? ????????????","Kaspi; Wildberries; Ozon; Amazon; eBay","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Ozon; Amazon; eBay","exact-product-card","index","published","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_001","AI product photography basics","P0","informational","TOFU","en","what is ai product photography","product photography; marketplace listing image; AI ecommerce photo","what is ai product photography without a photographer; what is ai product photography for marketplace sellers","how to what is ai product photography?; how to review AI product photos before publishing?","Kaspi; Wildberries; Ozon; Amazon; eBay","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Ozon; Amazon; eBay","exact-product-card","index","published","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_002","AI product photography basics","P1","how-to","MOFU","ru","как сделать фото товара для маркетплейса","???????? ????; ???????? ??????; AI ??? ????????????","как сделать фото товара для маркетплейса ??? ?????????; как сделать фото товара для маркетплейса ??? ????????????","??? как сделать фото товара для маркетплейса?; ??? ????????? AI-???? ????? ????????????","Kaspi; Wildberries; Ozon; Amazon; eBay","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Ozon; Amazon; eBay","exact-product-card; marketplace-white-background","index","published","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_002","AI product photography basics","P1","how-to","MOFU","en","how to create product photos for a marketplace","product photography; marketplace listing image; AI ecommerce photo","how to create product photos for a marketplace without a photographer; how to create product photos for a marketplace for marketplace sellers","how to how to create product photos for a marketplace?; how to review AI product photos before publishing?","Kaspi; Wildberries; Ozon; Amazon; eBay","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Ozon; Amazon; eBay","exact-product-card; marketplace-white-background","index","published","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_003","AI product photography basics","P0","how-to","MOFU","ru","как сделать белый фон для товара","???????? ????; ???????? ??????; AI ??? ????????????","как сделать белый фон для товара ??? ?????????; как сделать белый фон для товара ??? ????????????","??? как сделать белый фон для товара?; ??? ????????? AI-???? ????? ????????????","Kaspi; Amazon; eBay","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon; eBay","marketplace-white-background","index","published","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_003","AI product photography basics","P0","how-to","MOFU","en","how to make a white background for a product","product photography; marketplace listing image; AI ecommerce photo","how to make a white background for a product without a photographer; how to make a white background for a product for marketplace sellers","how to how to make a white background for a product?; how to review AI product photos before publishing?","Kaspi; Amazon; eBay","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon; eBay","marketplace-white-background","index","published","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_004","AI product photography basics","P1","how-to","MOFU","ru","как улучшить фото товара без фотографа","???????? ????; ???????? ??????; AI ??? ????????????","как улучшить фото товара без фотографа ??? ?????????; как улучшить фото товара без фотографа ??? ????????????","??? как улучшить фото товара без фотографа?; ??? ????????? AI-???? ????? ????????????","Shopify; Instagram Shop","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Instagram Shop","product-photo-cleanup","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_004","AI product photography basics","P1","how-to","MOFU","en","how to improve product photos without a photographer","product photography; marketplace listing image; AI ecommerce photo","how to improve product photos without a photographer without a photographer; how to improve product photos without a photographer for marketplace sellers","how to how to improve product photos without a photographer?; how to review AI product photos before publishing?","Shopify; Instagram Shop","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Instagram Shop","product-photo-cleanup","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_005","AI product photography basics","P1","how-to","MOFU","ru","как сделать карточку товара из обычного фото","???????? ????; ???????? ??????; AI ??? ????????????","как сделать карточку товара из обычного фото ??? ?????????; как сделать карточку товара из обычного фото ??? ????????????","??? как сделать карточку товара из обычного фото?; ??? ????????? AI-???? ????? ????????????","Kaspi; Ozon; Wildberries","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Ozon; Wildberries","exact-product-card","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_005","AI product photography basics","P1","how-to","MOFU","en","how to make a product card from a regular photo","product photography; marketplace listing image; AI ecommerce photo","how to make a product card from a regular photo without a photographer; how to make a product card from a regular photo for marketplace sellers","how to how to make a product card from a regular photo?; how to review AI product photos before publishing?","Kaspi; Ozon; Wildberries","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Ozon; Wildberries","exact-product-card","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_006","AI product photography basics","P1","informational","TOFU","ru","как ai помогает продавцам маркетплейсов","???????? ????; ???????? ??????; AI ??? ????????????","как ai помогает продавцам маркетплейсов ??? ?????????; как ai помогает продавцам маркетплейсов ??? ????????????","??? как ai помогает продавцам маркетплейсов?; ??? ????????? AI-???? ????? ????????????","Kaspi; Wildberries; Amazon","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Amazon","ecommerce-catalog-photos","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_006","AI product photography basics","P1","informational","TOFU","en","how ai helps marketplace sellers","product photography; marketplace listing image; AI ecommerce photo","how ai helps marketplace sellers without a photographer; how ai helps marketplace sellers for marketplace sellers","how to how ai helps marketplace sellers?; how to review AI product photos before publishing?","Kaspi; Wildberries; Amazon","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Amazon","ecommerce-catalog-photos","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_007","AI product photography basics","P1","informational","TOFU","ru","ошибки в товарных фото, которые снижают продажи","???????? ????; ???????? ??????; AI ??? ????????????","ошибки в товарных фото, которые снижают продажи ??? ?????????; ошибки в товарных фото, которые снижают продажи ??? ????????????","??? ошибки в товарных фото, которые снижают продажи?; ??? ????????? AI-???? ????? ????????????","Shopify; Amazon","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Amazon","exact-product-card","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_007","AI product photography basics","P1","informational","TOFU","en","product photo mistakes that hurt sales","product photography; marketplace listing image; AI ecommerce photo","product photo mistakes that hurt sales without a photographer; product photo mistakes that hurt sales for marketplace sellers","how to product photo mistakes that hurt sales?; how to review AI product photos before publishing?","Shopify; Amazon","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Amazon","exact-product-card","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_008","AI product photography basics","P1","how-to","MOFU","ru","как проверить ai-фото перед публикацией","???????? ????; ???????? ??????; AI ??? ????????????","как проверить ai-фото перед публикацией ??? ?????????; как проверить ai-фото перед публикацией ??? ????????????","??? как проверить ai-фото перед публикацией?; ??? ????????? AI-???? ????? ????????????","Kaspi; Amazon; Etsy","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon; Etsy","exact-product-card","index","published","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_008","AI product photography basics","P1","how-to","MOFU","en","how to review ai product photos before publishing","product photography; marketplace listing image; AI ecommerce photo","how to review ai product photos before publishing without a photographer; how to review ai product photos before publishing for marketplace sellers","how to how to review ai product photos before publishing?; how to review AI product photos before publishing?","Kaspi; Amazon; Etsy","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon; Etsy","exact-product-card","index","published","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_009","AI product photography basics","P1","informational","TOFU","ru","почему ai может менять товар и как этого избежать","???????? ????; ???????? ??????; AI ??? ????????????","почему ai может менять товар и как этого избежать ??? ?????????; почему ai может менять товар и как этого избежать ??? ????????????","??? почему ai может менять товар и как этого избежать?; ??? ????????? AI-???? ????? ????????????","Ozon; Amazon","blog","marketplace sellers; instagram shops; small ecommerce teams","Ozon; Amazon","exact-product-card","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_009","AI product photography basics","P1","informational","TOFU","en","why ai can change a product and how to reduce it","product photography; marketplace listing image; AI ecommerce photo","why ai can change a product and how to reduce it without a photographer; why ai can change a product and how to reduce it for marketplace sellers","how to why ai can change a product and how to reduce it?; how to review AI product photos before publishing?","Ozon; Amazon","blog","marketplace sellers; instagram shops; small ecommerce teams","Ozon; Amazon","exact-product-card","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_010","AI product photography basics","P1","how-to","MOFU","ru","как сохранить цвет и форму товара в ai-фото","???????? ????; ???????? ??????; AI ??? ????????????","как сохранить цвет и форму товара в ai-фото ??? ?????????; как сохранить цвет и форму товара в ai-фото ??? ????????????","??? как сохранить цвет и форму товара в ai-фото?; ??? ????????? AI-???? ????? ????????????","Kaspi; Amazon","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon","exact-product-card","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_010","AI product photography basics","P1","how-to","MOFU","en","how to preserve product color and shape in ai photos","product photography; marketplace listing image; AI ecommerce photo","how to preserve product color and shape in ai photos without a photographer; how to preserve product color and shape in ai photos for marketplace sellers","how to how to preserve product color and shape in ai photos?; how to review AI product photos before publishing?","Kaspi; Amazon","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon","exact-product-card","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_011","clothing / fashion","P0","how-to","MOFU","ru","как сделать фото одежды на модели","???????? ????; ???????? ??????; AI ??? ????????????","как сделать фото одежды на модели ??? ?????????; как сделать фото одежды на модели ??? ????????????","??? как сделать фото одежды на модели?; ??? ????????? AI-???? ????? ????????????","Wildberries; Ozon; Shopify","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Ozon; Shopify","clothing-on-model","index","published","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_011","clothing / fashion","P0","how-to","MOFU","en","how to create clothing photos on a model","product photography; marketplace listing image; AI ecommerce photo","how to create clothing photos on a model without a photographer; how to create clothing photos on a model for marketplace sellers","how to how to create clothing photos on a model?; how to review AI product photos before publishing?","Wildberries; Ozon; Shopify","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Ozon; Shopify","clothing-on-model","index","published","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_012","clothing / fashion","P1","how-to","MOFU","ru","как перенести одежду на ai-модель","???????? ????; ???????? ??????; AI ??? ????????????","как перенести одежду на ai-модель ??? ?????????; как перенести одежду на ai-модель ??? ????????????","??? как перенести одежду на ai-модель?; ??? ????????? AI-???? ????? ????????????","Shopify; Instagram Shop","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Instagram Shop","clothing-on-model","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_012","clothing / fashion","P1","how-to","MOFU","en","how to place clothing on an ai model","product photography; marketplace listing image; AI ecommerce photo","how to place clothing on an ai model without a photographer; how to place clothing on an ai model for marketplace sellers","how to how to place clothing on an ai model?; how to review AI product photos before publishing?","Shopify; Instagram Shop","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Instagram Shop","clothing-on-model","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_013","clothing / fashion","P1","commercial","BOFU","ru","фото платья на ai-модели","???????? ????; ???????? ??????; AI ??? ????????????","фото платья на ai-модели ??? ?????????; фото платья на ai-модели ??? ????????????","??? фото платья на ai-модели?; ??? ????????? AI-???? ????? ????????????","Wildberries; Instagram Shop","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Instagram Shop","clothing-on-model","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_013","clothing / fashion","P1","commercial","BOFU","en","dress photos on an ai model","product photography; marketplace listing image; AI ecommerce photo","dress photos on an ai model without a photographer; dress photos on an ai model for marketplace sellers","how to dress photos on an ai model?; how to review AI product photos before publishing?","Wildberries; Instagram Shop","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Instagram Shop","clothing-on-model","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_014","clothing / fashion","P1","commercial","BOFU","ru","фото футболки на ai-модели","???????? ????; ???????? ??????; AI ??? ????????????","фото футболки на ai-модели ??? ?????????; фото футболки на ai-модели ??? ????????????","??? фото футболки на ai-модели?; ??? ????????? AI-???? ????? ????????????","Wildberries; Shopify","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Shopify","clothing-on-model","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_014","clothing / fashion","P1","commercial","BOFU","en","t-shirt photos on an ai model","product photography; marketplace listing image; AI ecommerce photo","t-shirt photos on an ai model without a photographer; t-shirt photos on an ai model for marketplace sellers","how to t-shirt photos on an ai model?; how to review AI product photos before publishing?","Wildberries; Shopify","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Shopify","clothing-on-model","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_015","clothing / fashion","P1","commercial","BOFU","ru","фото костюма на ai-модели","???????? ????; ???????? ??????; AI ??? ????????????","фото костюма на ai-модели ??? ?????????; фото костюма на ai-модели ??? ????????????","??? фото костюма на ai-модели?; ??? ????????? AI-???? ????? ????????????","Shopify; Ozon","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Ozon","clothing-on-model","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_015","clothing / fashion","P1","commercial","BOFU","en","suit photos on an ai model","product photography; marketplace listing image; AI ecommerce photo","suit photos on an ai model without a photographer; suit photos on an ai model for marketplace sellers","how to suit photos on an ai model?; how to review AI product photos before publishing?","Shopify; Ozon","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Ozon","clothing-on-model","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_016","clothing / fashion","P0","commercial","BOFU","ru","фото белья на ai-модели","???????? ????; ???????? ??????; AI ??? ????????????","фото белья на ai-модели ??? ?????????; фото белья на ai-модели ??? ????????????","??? фото белья на ai-модели?; ??? ????????? AI-???? ????? ????????????","Wildberries; Ozon; Shopify","landing/use-case page","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Ozon; Shopify","lingerie-on-ai-model","index","published","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_016","clothing / fashion","P0","commercial","BOFU","en","lingerie photos on an ai model","product photography; marketplace listing image; AI ecommerce photo","lingerie photos on an ai model without a photographer; lingerie photos on an ai model for marketplace sellers","how to lingerie photos on an ai model?; how to review AI product photos before publishing?","Wildberries; Ozon; Shopify","landing/use-case page","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Ozon; Shopify","lingerie-on-ai-model","index","published","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_017","clothing / fashion","P1","commercial","BOFU","ru","фото plus-size модели для одежды","???????? ????; ???????? ??????; AI ??? ????????????","фото plus-size модели для одежды ??? ?????????; фото plus-size модели для одежды ??? ????????????","??? фото plus-size модели для одежды?; ??? ????????? AI-???? ????? ????????????","Shopify; Instagram Shop","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Instagram Shop","plus-size-model-photos","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_017","clothing / fashion","P1","commercial","BOFU","en","plus-size model photos for clothing","product photography; marketplace listing image; AI ecommerce photo","plus-size model photos for clothing without a photographer; plus-size model photos for clothing for marketplace sellers","how to plus-size model photos for clothing?; how to review AI product photos before publishing?","Shopify; Instagram Shop","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Instagram Shop","plus-size-model-photos","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_018","clothing / fashion","P1","how-to","MOFU","ru","как выбрать позу ai-модели","???????? ????; ???????? ??????; AI ??? ????????????","как выбрать позу ai-модели ??? ?????????; как выбрать позу ai-модели ??? ????????????","??? как выбрать позу ai-модели?; ??? ????????? AI-???? ????? ????????????","Shopify","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify","clothing-on-model","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
"keyword_018","clothing / fashion","P1","how-to","MOFU","en","how to choose an ai model pose","product photography; marketplace listing image; AI ecommerce photo","how to choose an ai model pose without a photographer; how to choose an ai model pose for marketplace sellers","how to how to choose an ai model pose?; how to review AI product photos before publishing?","Shopify","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify","clothing-on-model","index_when_content_ready","draft","Validate in Google Keyword Planner, Yandex Wordstat, and Bing Webmaster Tools before expanding publication."
