"id","cluster","priority","intent","locale","title","primary_keyword","slug_or_route","recommended_page_type","target_audience","related_platforms","related_use_cases","index_policy","content_status","notes"
"blog_001","AI product photography basics","P0","informational","ru","Что такое AI-фото товаров","что такое ai-фото товаров","/ru/blog/topic-001","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Ozon; Amazon; eBay","exact-product-card","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_001","AI product photography basics","P0","informational","en","What is AI product photography","what is ai product photography","/en/blog/topic-001","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Ozon; Amazon; eBay","exact-product-card","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_002","AI product photography basics","P1","how-to","ru","Как сделать фото товара для маркетплейса","как сделать фото товара для маркетплейса","/ru/blog/topic-002","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Ozon; Amazon; eBay","exact-product-card; marketplace-white-background","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_002","AI product photography basics","P1","how-to","en","How to create product photos for a marketplace","how to create product photos for a marketplace","/en/blog/topic-002","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Ozon; Amazon; eBay","exact-product-card; marketplace-white-background","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_003","AI product photography basics","P0","how-to","ru","Как сделать белый фон для товара","как сделать белый фон для товара","/ru/blog/topic-003","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon; eBay","marketplace-white-background","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_003","AI product photography basics","P0","how-to","en","How to make a white background for a product","how to make a white background for a product","/en/blog/topic-003","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon; eBay","marketplace-white-background","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_004","AI product photography basics","P1","how-to","ru","Как улучшить фото товара без фотографа","как улучшить фото товара без фотографа","/ru/blog/topic-004","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Instagram Shop","product-photo-cleanup","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_004","AI product photography basics","P1","how-to","en","How to improve product photos without a photographer","how to improve product photos without a photographer","/en/blog/topic-004","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Instagram Shop","product-photo-cleanup","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_005","AI product photography basics","P1","how-to","ru","Как сделать карточку товара из обычного фото","как сделать карточку товара из обычного фото","/ru/blog/topic-005","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Ozon; Wildberries","exact-product-card","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_005","AI product photography basics","P1","how-to","en","How to make a product card from a regular photo","how to make a product card from a regular photo","/en/blog/topic-005","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Ozon; Wildberries","exact-product-card","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_006","AI product photography basics","P1","informational","ru","Как AI помогает продавцам маркетплейсов","как ai помогает продавцам маркетплейсов","/ru/blog/topic-006","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Amazon","ecommerce-catalog-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_006","AI product photography basics","P1","informational","en","How AI helps marketplace sellers","how ai helps marketplace sellers","/en/blog/topic-006","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Wildberries; Amazon","ecommerce-catalog-photos","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_007","AI product photography basics","P1","informational","ru","Ошибки в товарных фото, которые снижают продажи","ошибки в товарных фото, которые снижают продажи","/ru/blog/topic-007","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Amazon","exact-product-card","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_007","AI product photography basics","P1","informational","en","Product photo mistakes that hurt sales","product photo mistakes that hurt sales","/en/blog/topic-007","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Amazon","exact-product-card","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_008","AI product photography basics","P1","how-to","ru","Как проверить AI-фото перед публикацией","как проверить ai-фото перед публикацией","/ru/blog/topic-008","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon; Etsy","exact-product-card","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_008","AI product photography basics","P1","how-to","en","How to review AI product photos before publishing","how to review ai product photos before publishing","/en/blog/topic-008","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon; Etsy","exact-product-card","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_009","AI product photography basics","P1","informational","ru","Почему AI может менять товар и как этого избежать","почему ai может менять товар и как этого избежать","/ru/blog/topic-009","blog","marketplace sellers; instagram shops; small ecommerce teams","Ozon; Amazon","exact-product-card","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_009","AI product photography basics","P1","informational","en","Why AI can change a product and how to reduce it","why ai can change a product and how to reduce it","/en/blog/topic-009","blog","marketplace sellers; instagram shops; small ecommerce teams","Ozon; Amazon","exact-product-card","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_010","AI product photography basics","P1","how-to","ru","Как сохранить цвет и форму товара в AI-фото","как сохранить цвет и форму товара в ai-фото","/ru/blog/topic-010","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon","exact-product-card","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_010","AI product photography basics","P1","how-to","en","How to preserve product color and shape in AI photos","how to preserve product color and shape in ai photos","/en/blog/topic-010","blog","marketplace sellers; instagram shops; small ecommerce teams","Kaspi; Amazon","exact-product-card","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_011","clothing / fashion","P0","how-to","ru","Как сделать фото одежды на модели","как сделать фото одежды на модели","/ru/blog/topic-011","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Ozon; Shopify","clothing-on-model","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_011","clothing / fashion","P0","how-to","en","How to create clothing photos on a model","how to create clothing photos on a model","/en/blog/topic-011","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Ozon; Shopify","clothing-on-model","index","published","Published with article content in data/seo/blogArticles.ts"
"blog_012","clothing / fashion","P1","how-to","ru","Как перенести одежду на AI-модель","как перенести одежду на ai-модель","/ru/blog/topic-012","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Instagram Shop","clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_012","clothing / fashion","P1","how-to","en","How to place clothing on an AI model","how to place clothing on an ai model","/en/blog/topic-012","blog","marketplace sellers; instagram shops; small ecommerce teams","Shopify; Instagram Shop","clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_013","clothing / fashion","P1","commercial","ru","Фото платья на AI-модели","фото платья на ai-модели","/ru/blog/topic-013","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Instagram Shop","clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
"blog_013","clothing / fashion","P1","commercial","en","Dress photos on an AI model","dress photos on an ai model","/en/blog/topic-013","blog","marketplace sellers; instagram shops; small ecommerce teams","Wildberries; Instagram Shop","clothing-on-model","index_when_content_ready","draft","Seed topic only; keep draft/noindex until keyword and content validation"
